Nome,Escolaridade,Número,Aptidão,Coligação
Abel Barreto,Ensino Fundamental incompleto,16001,Deferido (Apto),PSTU
Abençoado da Bahia,Ensino Médio incompleto,20690,Deferido (Apto),"Coligação PSB, PTB, PV, PSC, PPS"
Abigail,Ensino Médio incompleto,44003,Deferido (Apto),PRP
Adalberto Freitas,Superior incompleto,17079,Deferido (Apto),PSL
Alessandro Santos,Superior completo,70500,Deferido (Apto),AVANTE
Adegas Junior,Superior incompleto,19019,Deferido (Apto),PODE
Adeildo Reis,Ensino Fundamental completo,90790,Deferido (Apto),PROS
Ângela Magalhães,Superior completo,70147,Deferido (Apto),AVANTE
Adelmo,Ensino Médio completo,16116,Deferido (Apto),PSTU
Camila Silva,Superior completo,70777,Deferido (Apto),AVANTE
Ademilson Marceneiro,Ensino Médio completo,50444,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Ademir Clemente,Ensino Médio completo,77001,Deferido (Apto),SOLIDARIEDADE
Ademir da Guia,Ensino Médio completo,31010,Deferido (Apto),RENOVAÇÃO 
Camilo de Leles,Superior completo,70770,Deferido (Apto),AVANTE
Adilson da Copa,Ensino Médio completo,31034,Deferido (Apto),RENOVAÇÃO 
Adilson Lima,Ensino Médio incompleto,51789,Deferido (Apto),PATRI
Adilson Rossi,Ensino Fundamental completo,40400,Deferido (Apto),"Coligação PSB, PTB, PV, PSC, PPS"
Cezinha,Superior completo,70066,Deferido (Apto),AVANTE
Cicote,Superior completo,70321,Deferido (Apto),AVANTE
Claudio Vitorino Kadu,Superior completo,70657,Deferido (Apto),AVANTE
Clélia Gomes,Superior completo,70456,Deferido (Apto),AVANTE
Adriana Barreto,Ensino Médio completo,31900,Deferido (Apto),RENOVAÇÃO 
Adriana Borgo,Ensino Médio completo,90190,Deferido (Apto),PROS
Adriana Chicona,Ensino Médio completo,44677,Deferido (Apto),PRP
Adriana Coelho,Ensino Médio completo,65038,Deferido (Apto),PC do B
Adriana de Sá,Superior incompleto,27507,Deferido (Apto),DC
Cristiano Gasperine,Superior completo,70333,Deferido (Apto),AVANTE
Dr. Daniel Requeijo,Superior completo,70700,Deferido (Apto),AVANTE
Dra. Luciane Machado,Superior completo,70727,Deferido (Apto),AVANTE
Adriano Reis,Superior incompleto,28228,Deferido (Apto),PRTB
Adriele Costa,Ensino Médio incompleto,17124,Deferido (Apto),PSL
Agamenon,Ensino Fundamental completo,12444,Deferido (Apto),PDT
Egidio,Superior completo,70077,Deferido (Apto),AVANTE
Agnelo Matos,Ensino Médio completo,13633,Deferido (Apto),PT
Agripino Magalhães,Ensino Médio completo,40780,Deferido (Apto),"Coligação PSB, PTB, PV, PSC, PPS"
Agustin Carballo,Superior incompleto,17010,Deferido (Apto),PSL
Eli Nogueira,Superior completo,70023,Deferido (Apto),AVANTE
Ailton Cabral,Superior incompleto,13367,Deferido (Apto),PT
Ailton Moretti,Ensino Médio completo,90019,Deferido (Apto),PROS
Enfermeiro Galindo,Superior completo,70557,Deferido (Apto),AVANTE
