Nome,Escolaridade,Número,Aptidão,Coligação
A. Triumpho Avellar,Superior completo,1521,Deferido (Apto),MDB
Abel Camargo,Ensino Médio completo,5145,Renúncia (Inapto),PATRI
Abel Porto,Ensino Fundamental completo,1032,Deferido (Apto),PRB
Abou Anni,Superior completo,1701,Deferido (Apto),PSL
Adailton Junior,Superior completo,2212,Deferido (Apto),PR
Adao Nascimento,Superior incompleto,1013,Deferido (Apto),PRB
Adelson Fonseca,Superior incompleto,3027,Deferido (Apto),NOVO
Ademir de Oliveira,Superior completo,5158,Deferido (Apto),PATRI
Ademir Silva,Lê e escreve,1098,Deferido (Apto),PRB
Adenilton Ferreira,Superior completo,4396,Deferido (Apto),PV
Aderito Dutra,Ensino Médio completo,5080,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Adérmis Marini,Superior completo,4533,Deferido (Apto),PSDB-PSD-DEM-PP
Adezio Dias,Ensino Fundamental completo,3540,Indeferido com recurso (Apto),UNIDOS POR SÃO PAULO
Adilson Barroso,Superior completo,5151,Deferido (Apto),PATRI
Admilson,Superior incompleto,1364,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Adolfo Mariano,Superior incompleto,5001,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Adriana,Ensino Médio completo,4014,Indeferido (Inapto),"Coligação PSB, PTB, PPS, PSC"
Adriana Bargas,Superior completo,1529,Deferido (Apto),MDB
Adriana Guedes,Ensino Médio completo,5164,Deferido (Apto),PATRI
Adriana Simões,Ensino Médio completo,4348,Deferido (Apto),PV
Adriana Ventura,Superior completo,3050,Deferido (Apto),NOVO
Adriano Cacolespo,Superior completo,7043,Deferido (Apto),AVANTE
Adriano Macaira,Ensino Fundamental completo,9091,Deferido (Apto),PROS
Adriano Marinho,Superior completo,2055,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Adriano Pereira,Superior completo,9063,Deferido (Apto),PROS
Adriano Santos,Superior completo,1951,Deferido (Apto),UNIDOS POR SÃO PAULO
Afonso Timoteo,Ensino Fundamental completo,3601,Indeferido com recurso (Apto),PTC
Agripino Sena,Ensino Médio completo,1047,Deferido (Apto),PRB
Aguiar da Pipoca,Ensino Médio completo,3330,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Ailton Amaral,Superior completo,5020,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Ailton Lima,Ensino Médio completo,5545,Deferido (Apto),PSDB-PSD-DEM-PP
Aires Ribeiro,Superior completo,1233,Deferido (Apto),PDT
Aladim,Superior completo,2202,Deferido (Apto),PR
Alberto Federal,Superior completo,1953,Deferido (Apto),UNIDOS POR SÃO PAULO
Alcantara,Superior completo,5162,Deferido (Apto),PATRI
Alcides Teixeira Lima,Superior completo,2780,Indeferido (Inapto),DC
Alencar Santana,Superior completo,1358,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Alessandra Facex,Superior completo,1092,Deferido (Apto),PRB
Alex Allos,Ensino Médio completo,1347,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Alex Backer,Superior completo,1012,Deferido (Apto),PRB
Alex Carvalho,Ensino Médio completo,1480,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Alex Douglas,Ensino Médio completo,5530,Deferido (Apto),PSDB-PSD-DEM-PP
Alex Manente,Superior completo,2343,Deferido com recurso (Apto),"Coligação PSB, PTB, PPS, PSC"
Alex Tailândia,Superior completo,1014,Deferido (Apto),PRB
Alexandre Comitre,Ensino Médio completo,5423,Deferido (Apto),PPL
Alexandre Dauage Zoio,Superior completo,1011,Deferido (Apto),PRB
Alexandre de Oliveira,Superior completo,7077,Deferido (Apto),AVANTE
Alexandre Ferreira,Superior completo,7750,Deferido (Apto),SOLIDARIEDADE
Alexandre Frota,Ensino Médio completo,1777,Deferido (Apto),PSL
Alexandre Leite,Superior completo,2525,Deferido (Apto),PSDB-PSD-DEM-PP
Alexandre Machado,Superior completo,3008,Deferido (Apto),NOVO
Alexandre Mandl,Superior completo,5005,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Alexandre Milani,Ensino Médio completo,7047,Deferido (Apto),AVANTE
Alexandre Padilha,Superior completo,1354,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Alexandre Rangel,Superior incompleto,1466,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Alexis,Superior completo,3000,Deferido (Apto),NOVO
Alexis Junnior Radialista,Ensino Médio completo,1704,Deferido (Apto),PSL
Alfredinho,Ensino Médio completo,1389,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Alfredo Duque,Ensino Fundamental completo,1927,Deferido (Apto),UNIDOS POR SÃO PAULO
Alfredo Moura,Superior completo,9040,Deferido (Apto),PROS
Alicio Andrade,Ensino Médio completo,1930,Deferido (Apto),UNIDOS POR SÃO PAULO
Aline de Carvalho,Ensino Médio completo,4306,Deferido (Apto),PV
Aline Monica,Superior incompleto,3678,Deferido (Apto),PTC
Aline Torres,Ensino Médio completo,4517,Deferido (Apto),PSDB-PSD-DEM-PP
Alixandre,Ensino Fundamental completo,4442,Deferido (Apto),PRP
Alliny Sartori,Superior completo,7744,Deferido (Apto),SOLIDARIEDADE
Almeida,Superior incompleto,1234,Deferido com recurso (Apto),PDT
Almir Felitte,Superior completo,5095,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Altair de Souza,Superior incompleto,5165,Deferido (Apto),PATRI
Altonomista Bezerra (Tonon),Ensino Fundamental completo,4367,Deferido (Apto),PV
Aluisio Nogueira,Superior incompleto,3099,Deferido (Apto),NOVO
Alzira Bombonato,Superior completo,5054,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Amaral,Ensino Médio completo,5401,Deferido (Apto),PPL
Amélia Naomi,Superior completo,1350,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Ana Beatriz Ruppelt,Superior completo,1280,Indeferido com recurso (Apto),PDT
Ana Carolina Dias,Superior completo,1908,Deferido (Apto),UNIDOS POR SÃO PAULO
Ana Couto,Ensino Fundamental completo,1036,Deferido (Apto),PRB
Ana do Carmo,Ensino Médio completo,1363,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Ana Karin,Superior completo,1028,Indeferido com recurso (Apto),PRB
Ana Maria dos Extintores,Ensino Médio completo,4406,Deferido (Apto),PRP
Ana Paiva,Ensino Médio incompleto,1240,Deferido (Apto),PDT
Ana Paula,Ensino Médio completo,5190,Deferido (Apto),PATRI
Ana Paula Beathalter,Superior completo,3333,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Ana Paula Retuci,Superior incompleto,1520,Deferido (Apto),MDB
Ana Pecoraro,Superior completo,4347,Deferido (Apto),PV
Ana Perugini,Superior completo,1321,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Andre Bastianon,Superior incompleto,1365,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Andre da Rocha,Ensino Fundamental completo,1255,Deferido (Apto),PDT
André Falcon,Ensino Médio completo,4329,Deferido (Apto),PV
Andre Gaetta,Ensino Fundamental completo,1254,Deferido (Apto),PDT
Andre Mazaroppi,Ensino Médio completo,9082,Deferido (Apto),PROS
André Rodini,Superior completo,1915,Deferido (Apto),UNIDOS POR SÃO PAULO
André Santos,Ensino Fundamental completo,4464,Deferido (Apto),PRP
Andre Zanata,Superior completo,3132,Deferido (Apto),UNIDOS POR SÃO PAULO
Andrea Campos Sales,Superior completo,4365,Deferido (Apto),PV
Andrea Spinola,Superior completo,3063,Deferido (Apto),NOVO
Andréa Werner,Superior completo,5024,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Andreia Alves de Brito,Superior incompleto,7001,Deferido (Apto),AVANTE
Andreia Andrade,Ensino Fundamental completo,1926,Deferido (Apto),UNIDOS POR SÃO PAULO
Andreia Borges,Superior completo,7042,Deferido (Apto),AVANTE
Andreia da Farmácia,Ensino Médio completo,7772,Deferido (Apto),SOLIDARIEDADE
Andreia Leticia,Ensino Médio completo,3606,Indeferido com recurso (Apto),PTC
Andreia Maia,Ensino Médio completo,9032,Deferido (Apto),PROS
Andreia Oliveira,Superior incompleto,5053,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Andréia Rosa,Superior completo,2808,Deferido (Apto),PRTB
Andressa Salles,Ensino Médio completo,4007,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Anete Pizzimenti,Superior completo,1791,Deferido (Apto),PSL
Angela Matos,Superior completo,4397,Deferido (Apto),PV
Angela Reis,Ensino Fundamental incompleto,1020,Deferido (Apto),PRB
Angelica Mariano,Superior completo,1410,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Antônio Carlos,Superior completo,2929,Indeferido com recurso (Apto),PCO
Antonio Carlos Fernandes,Ensino Médio completo,3600,Renúncia (Inapto),PTC
Antonio Carlos Padula,Superior completo,4362,Deferido (Apto),PV
Antonio Carlos Rodrigues,Superior completo,2270,Deferido (Apto),PR
Antonio Fedossi,Superior completo,9035,Deferido (Apto),PROS
Antonio Graciani,Superior completo,1966,Deferido (Apto),UNIDOS POR SÃO PAULO
Antônio Macapá,Ensino Médio completo,1678,Deferido (Apto),PSTU
Antonio Mendonça,Superior completo,2756,Deferido (Apto),DC
